,SRM1950_1,SRM1950_2,SRM1950_3,SRM1950_4,AA_1,AA_2,AA_3,AA_4,T1D_1,T1D_2,T1D_3,T1D_4
LPE 16:1,0.004659618,0.004033509,0.00349842,0.004625786,0.002590133,0.001686088,0.002149914,0.000982,0.004125371,0.003384629,0.003099387,0.005027398
LPE 18:0,0.152218636,0.123747524,0.106393615,0.187856684,0.205701265,0.264601589,0.449134216,0.152719445,0.278892027,0.212069953,0.345149451,0.37826006
LPE 18:1,0.09197602,0.085350894,0.063183592,0.095145029,0.0830726,0.123331732,0.146530703,0.052129095,0.09897549,0.09659967,0.089253126,0.114141017
LPE 18:2,0.27041673,0.238764778,0.206539366,0.330820799,0.178860316,0.228899182,0.302365908,0.113115706,0.202123093,0.172806993,0.251201195,0.294469461
LPE 20:1,0.002604048,0.002824089,0.0021276,0.002628298,0.003167787,0.003662134,0.005443152,0.002419831,0.004613684,0.003501592,0.003253425,0.005045599
LPE 20:2,0.001789158,0.001392825,0.001018748,0.001637372,0.001999882,0.002398951,0.002629223,0.00092,0.002320491,0.002221271,0.00095,0.002292721
LPE 20:4,0.091801267,0.075976385,0.06077056,0.098719944,0.073537763,0.109354431,0.125935883,0.049871848,0.086436678,0.083881321,0.091274855,0.10835731
LPE 20:5,0.009903234,0.007998855,0.007679095,0.01281722,0.006409383,0.006952665,0.010820644,0.004279323,0.015888442,0.013013128,0.015175247,0.017384355
LPE 22:5,0.009587539,0.009635276,0.007473413,0.008054834,0.008103889,0.012385555,0.012540499,0.005517954,0.009796787,0.012138655,0.00690409,0.011981313
LPE 22:6,0.037915391,0.037618123,0.025827122,0.05372921,0.036624357,0.042966846,0.05540001,0.020230813,0.064684961,0.056149192,0.082982338,0.07430523
LPS 18:0,0.002347791,0.001280883,0.001060617,0.001155156,0.002722436,0.002786076,0.005163069,0.001124998,0.001333755,0.002415639,0.001752394,0.002921332
LPS 18:1,0.001283276,0.001061913,0.001137788,0.001240463,0.001585774,0.002272717,0.004041954,0.000521,0.002118105,0.002011728,0.001248216,0.002531037
LPS 18:2,0.00044,0.000557,0.000195,6.41E-05,0.000492,0.000555,0.001075767,0.000435,0.00046,0.000548,0.000178,0.000653
LPS 20:4,0.001642208,0.000981,0.001118126,0.000217,0.002433148,0.002529318,0.003430043,0.001565972,0.0024897,0.002632997,0.001589615,0.002778401
LPS 22:6,0.001430816,0.000822,0.001283334,0.000434,0.000772,0.002282558,0.001597904,0.000745,0.001137842,0.000892,0.000831,0.001296843
LPA 16:0,0.188554866,0.176632684,0.169334401,0.147716478,0.202663582,0.263869783,0.36887148,0.102566424,0.23459803,0.164569433,0.138909912,0.216687692
LPA 16:1,0.007139414,0.006931915,0.007054444,0.00771099,0.003829647,0.005520432,0.007740795,0.0021024,0.006986276,0.004411993,0.005207994,0.006937091
LPA 18:0,0.053434485,0.055690224,0.042153269,0.045359561,0.078360507,0.112380367,0.151423537,0.043932452,0.080063811,0.068309175,0.047154074,0.071215614
LPA 18:1,0.024771123,0.022568655,0.016153956,0.022987433,0.042659736,0.054991328,0.077131426,0.023979901,0.08498247,0.119061235,0.08687409,0.196814201
LPA 18:2,0.113962301,0.109409299,0.073830548,0.108542132,0.118212315,0.159824821,0.233649273,0.066877087,0.340959763,0.490495158,0.337005706,0.790254972
LPA 18:3,0.003164115,0.002426357,0.002412407,0.002726043,0.002222738,0.002990051,0.004255749,0.001463068,0.009460922,0.012605237,0.008981166,0.019916549
LPA 20:3,0.006607232,0.00684412,0.005296512,0.007227845,0.009740378,0.011945393,0.015814934,0.005065628,0.029370011,0.034036921,0.028326388,0.058422048
LPA 20:4,0.041172391,0.038115712,0.029808911,0.036571883,0.086429892,0.120969913,0.171035793,0.055413109,0.164069557,0.225262445,0.150290814,0.3441589
LPA 20:5,0.002406706,0.00289366,0.002331372,0.00287575,0.003601061,0.004680434,0.007019837,0.001720958,0.016474222,0.022117596,0.019895637,0.037351903
LPA 22:5,0.002048373,0.002623725,0.001688219,0.001708214,0.001966142,0.001914207,0.003643817,0.001139084,0.002549519,0.001951856,0.001427439,0.002181245
LPA 22:6,0.038125274,0.033062666,0.035525437,0.028372662,0.03836405,0.058214825,0.074702998,0.021102562,0.049298757,0.039148034,0.027046113,0.043058247
LPI 16:0,0.011085351,0.011146381,0.007201526,0.008671107,0.032377353,0.038405874,0.058900949,0.020812521,0.008826508,0.013630162,0.008771831,0.020355082
LPI 16:1,0.009535069,0.010251126,0.006126238,0.005817346,0.002184116,0.002676803,0.003797441,0.001532505,0.005142494,0.00674248,0.00508884,0.010526374
LPI 18:0,0.046281095,0.042967336,0.033394406,0.031825891,0.181024777,0.232158985,0.349389921,0.122116193,0.05123087,0.068369433,0.043372677,0.101584846
LPI 18:1,0.036396613,0.034333507,0.027687341,0.026615928,0.031011234,0.046972511,0.065726225,0.023889189,0.033584699,0.047823603,0.030280635,0.066127998
LPI 18:2,0.046136083,0.049880595,0.033469191,0.02900936,0.037306537,0.049396716,0.074479469,0.023893699,0.037225718,0.061373288,0.02999256,0.082049364
LPI 20:4,0.056754774,0.056610061,0.037764798,0.04644102,0.048463891,0.060369772,0.093147422,0.030656589,0.058310482,0.080828778,0.060390551,0.115470938
LPG 16:0,0.065375415,0.057395564,0.041373549,0.053996099,0.064488921,0.066523513,0.099042273,0.035184992,0.057080547,0.042414055,0.044829364,0.066769731
LPG 16:1,0.95887572,0.816594204,0.641688643,0.78391046,0.908592021,0.984861997,1.445685107,0.541882769,0.878518598,0.605106824,0.681215834,1.050850288
LPG 18:0,0.026294397,0.021067464,0.018046996,0.018838318,0.029694791,0.037035232,0.048268544,0.018723649,0.026815583,0.020158429,0.018013311,0.031561927
LPG 18:1,0.33642132,0.279074974,0.215006604,0.239305916,0.411690907,0.450274095,0.595174686,0.231790329,0.34730864,0.24695285,0.230583065,0.384549656
LPG 18:2,0.251943953,0.204462542,0.174141785,0.19445365,0.195943945,0.222856349,0.334639164,0.115305577,0.197002913,0.153869478,0.133271476,0.233909857
LPG 18:3,0.32230415,0.271336842,0.217459099,0.307199143,0.232575616,0.266417359,0.423249277,0.137562133,0.239031255,0.152223172,0.192801154,0.279741446
LPG 20:1,0.00144139,0.001434814,0.00092,0.001274461,0.0018506,0.001905972,0.00329571,0.001058043,0.001585087,0.001229489,0.00109675,0.001850624
LPG 20:2,0.002242476,0.00178899,0.001430164,0.00171336,0.003208103,0.004446055,0.005312478,0.001652609,0.002398254,0.001970135,0.001737248,0.003079587
LPG 20:3,0.004154537,0.003350145,0.003196155,0.003638345,0.005261157,0.005913146,0.008316895,0.003151048,0.004104642,0.002787588,0.002969681,0.004773532
LPG 20:4,0.018799383,0.015139881,0.011146579,0.014494948,0.010100957,0.017441873,0.023764349,0.008275858,0.015513689,0.012037007,0.010907524,0.018184085
LPG 20:5,0.034060422,0.027927911,0.021627053,0.033147536,0.037704364,0.039822698,0.060584714,0.020840162,0.035887522,0.025060605,0.030898959,0.039050319
LPG 22:5,0.001150368,0.001342516,0.000581,0.000906,0.001375708,0.001840947,0.002411558,0.000843,0.00128123,0.000811,0.000951,0.001330339
LPG 22:6,0.003456631,0.00271397,0.002196168,0.002336921,0.00318659,0.003774796,0.005009837,0.00171322,0.002215585,0.002255738,0.001553875,0.003433581
O-LPC 16:0,0.025934661,0.024573712,0.017314735,0.029287224,0.033282167,0.042273372,0.052612765,0.018223505,0.03709114,0.03725351,0.040394208,0.053784225
